Reviewer,Country,Suite/Source,Date,Review
Eleutheria,Greece,Suite 3,Jan 2025,"The facilities are modern, impeccably clean, and of exceptional quality..."
Mora Karen,Mexico,Forest Suite,Oct 2024,Excellent location and attention and clean large room everything was excellent
Erica,Italy,Korali Suite,July 2021,"The apartment is very beautiful, furnished with great style and care..."
Marihke,Netherlands,Forest Suite,July 2021,"Top location, the nicely furnished apartment is very well equipped, very helpful owner."
Alexander,Russia,Avra Suite,July 2021,Great location for a short stay in the city. Everything is thought out to the smallest detail. Highest mark!
Davide,Italy,Zakynthos Suite,June 2021,Just one word: GREAT!!! Clean facility and in the center of Athens nothing is missing...
Em,UK,Korali Suite,June 2021,"The room itself was very clean and tidy, great bed and bathroom!"
Constantinos,Cyprus,Santorini Suite,July 2020,For starters let me just say that the owner was super friendly and helpful...
Koula,Greece,Booking.com,-,The Location was amazing in the heart of center and shops...
Aoi,Japan,Booking.com,-,Amenity is very good ・There are many outlets...
Stephanie,France,Booking.com,-,Quality of services and very central location...
Anonymous,UK,Booking.com,-,"Excellent location, apartment fully equipped and everything brand new..."
Andros,Cyprus,Santorini Suite,Dec 2019,"Came to Athens many times, stayed in several places..."
Christiana,Greece,Facebook,-,Stongly recommended for a luxury and enjoyable stay in Athens...
